No.,Player,playerID,Pos,Ht,Ht_inches,Wt,Birth Date,,Exp,College
0,Kadeem Allen,allenka01,SG,1-Jun,73,200,January 15 1993,us,1,Arizona
31,Ron Baker,bakerro01,SG,4-Jun,76,220,March 30 1993,us,2,Wichita State
23,Trey Burke,burketr01,PG,Jun-00,73,175,November 12 1992,us,5,Michigan
21,Damyean Dotson,dotsoda01,SG,5-Jun,77,202,May 6 1994,us,1,Oregon Houston
13,Henry Ellenson,ellenhe01,PF,10-Jun,82,240,January 13 1997,us,2,Marquette
3,Billy Garrett,garrebi01,SG,6-Jun,78,213,October 16 1994,us,R,DePaul
3,Tim Hardaway,hardati02,SG,5-Jun,77,205,March 16 1992,us,5,Michigan
8,Mario Hezonja,hezonma01,SF,8-Jun,80,201,February 25 1995,hr,3,
4,Isaiah Hicks,hicksis01,PF,9-Jun,81,230,July 24 1994,us,1,UNC
30,John Jenkins,jenkijo01,SG,4-Jun,76,215,March 6 1991,us,5,Vanderbilt
6,DeAndre Jordan,jordade01,C,11-Jun,83,265,July 21 1988,us,10,Texas A&M
0,Enes Kanter,kanteen01,C,10-Jun,82,262,May 20 1992,ch,7,
20,Kevin Knox,knoxke01,PF,7-Jun,79,215,August 11 1999,us,R,Kentucky
2,Luke Kornet,kornelu01,PF,2-Jul,86,240,July 15 1995,us,1,Vanderbilt
5,Courtney Lee,leeco01,SG,5-Jun,77,215,October 3 1985,us,10,Western Kentucky
23,Wesley Matthews,matthwe02,SG,4-Jun,76,220,October 14 1986,us,9,Marquette
1,Emmanuel Mudiay,mudiaem01,PG,3-Jun,75,200,March 5 1996,cd,3,
11,Frank Ntilikina,ntilila01,PG,4-Jun,76,190,July 28 1998,be,1,
26,Mitchell Robinson,robinmi01,C,Jul-00,85,223,April 1 1998,us,R,Western Kentucky
5,Dennis Smith,smithde03,PG,2-Jun,74,195,November 25 1997,us,1,NC State
42,Lance Thomas,thomala01,PF,8-Jun,80,240,April 24 1988,us,7,Duke
14,Allonzo Trier,trieral01,SG,4-Jun,76,200,January 17 1996,us,R,Arizona
32,Noah Vonleh,vonleno01,PF,10-Jun,82,257,August 24 1995,us,4,Indiana
